"id","category","cluster","predicted_category"
99,"Agriculture",17,"Opinion"
100,"Agriculture",17,"Opinion"
101,"Agriculture",11,"Economy"
102,"Agriculture",17,"Opinion"
103,"Agriculture",17,"Opinion"
104,"Agriculture",17,"Opinion"
105,"Agriculture",17,"Opinion"
106,"Agriculture",17,"Opinion"
107,"Agriculture",17,"Opinion"
108,"Agriculture",17,"Opinion"
109,"Agriculture",17,"Opinion"
110,"Agriculture",17,"Opinion"
111,"Agriculture",17,"Opinion"
112,"Agriculture",11,"Economy"
113,"Agriculture",11,"Economy"
114,"Agriculture",17,"Opinion"
115,"Agriculture",11,"Economy"
116,"Agriculture",11,"Economy"
117,"Agriculture",11,"Economy"
118,"Agriculture",11,"Economy"
119,"Agriculture",11,"Economy"
120,"Agriculture",11,"Economy"
121,"Agriculture",11,"Economy"
122,"Agriculture",11,"Economy"
123,"Agriculture",11,"Economy"
124,"Agriculture",11,"Economy"
125,"Agriculture",11,"Economy"
126,"Agriculture",11,"Economy"
127,"Agriculture",11,"Economy"
128,"Agriculture",11,"Economy"
129,"Agriculture",11,"Economy"
130,"Agriculture",11,"Economy"
131,"Agriculture",11,"Economy"
132,"Agriculture",11,"Economy"
133,"Agriculture",11,"Economy"
134,"Agriculture",11,"Economy"
135,"Agriculture",11,"Economy"
136,"Agriculture",11,"Economy"
137,"Agriculture",11,"Economy"
138,"Agriculture",11,"Economy"
139,"Agriculture",11,"Economy"
140,"Agriculture",11,"Economy"
141,"Agriculture",11,"Economy"
142,"Agriculture",11,"Economy"
143,"Agriculture",11,"Economy"
144,"Agriculture",11,"Economy"
145,"Agriculture",11,"Economy"
146,"Agriculture",11,"Economy"
147,"Agriculture",11,"Economy"
148,"Agriculture",11,"Economy"
149,"Agriculture",11,"Economy"
150,"Agriculture",11,"Economy"
151,"Agriculture",11,"Economy"
152,"Agriculture",11,"Economy"
153,"Agriculture",11,"Economy"
154,"Agriculture",11,"Economy"
155,"Agriculture",11,"Economy"
156,"Agriculture",11,"Economy"
157,"Agriculture",11,"Economy"
158,"Agriculture",11,"Economy"
159,"Agriculture",11,"Economy"
160,"Agriculture",11,"Economy"
161,"Agriculture",11,"Economy"
162,"Agriculture",11,"Economy"
163,"Agriculture",11,"Economy"
164,"Agriculture",11,"Economy"
165,"Agriculture",11,"Economy"
166,"Agriculture",11,"Economy"
167,"Agriculture",11,"Economy"
168,"Agriculture",11,"Economy"
169,"Agriculture",11,"Economy"
170,"Agriculture",11,"Economy"
171,"Agriculture",11,"Economy"
172,"Agriculture",11,"Economy"
173,"Agriculture",11,"Economy"
174,"Agriculture",11,"Economy"
175,"Agriculture",11,"Economy"
176,"Agriculture",11,"Economy"
177,"Agriculture",11,"Economy"
178,"Agriculture",11,"Economy"
179,"Agriculture",11,"Economy"
180,"Agriculture",11,"Economy"
181,"Agriculture",11,"Economy"
182,"Agriculture",11,"Economy"
183,"Agriculture",11,"Economy"
184,"Agriculture",11,"Economy"
185,"Agriculture",11,"Economy"
186,"Agriculture",11,"Economy"
187,"Agriculture",11,"Economy"
188,"Agriculture",11,"Economy"
189,"Agriculture",11,"Economy"
190,"Agriculture",11,"Economy"
191,"Agriculture",11,"Economy"
192,"Agriculture",11,"Economy"
193,"Agriculture",11,"Economy"
194,"Agriculture",11,"Economy"
195,"Agriculture",11,"Economy"
196,"Agriculture",11,"Economy"
197,"Agriculture",11,"Economy"
198,"Agriculture",11,"Economy"
199,"Agriculture",11,"Economy"
200,"Agriculture",11,"Economy"
201,"Automobiles",11,"Economy"
202,"Automobiles",11,"Economy"
203,"Automobiles",17,"Opinion"
204,"Automobiles",17,"Opinion"
205,"Automobiles",17,"Opinion"
206,"Automobiles",17,"Opinion"
207,"Automobiles",17,"Opinion"
208,"Automobiles",17,"Opinion"
209,"Automobiles",17,"Opinion"
210,"Automobiles",17,"Opinion"
211,"Automobiles",17,"Opinion"
212,"Automobiles",17,"Opinion"
213,"Automobiles",11,"Economy"
214,"Automobiles",17,"Opinion"
215,"Automobiles",17,"Opinion"
216,"Automobiles",17,"Opinion"
217,"Automobiles",17,"Opinion"
218,"Automobiles",17,"Opinion"
219,"Automobiles",17,"Opinion"
220,"Automobiles",17,"Opinion"
221,"Automobiles",17,"Opinion"
222,"Automobiles",17,"Opinion"
223,"Automobiles",17,"Opinion"
224,"Automobiles",11,"Economy"
225,"Automobiles",17,"Opinion"
226,"Automobiles",17,"Opinion"
227,"Automobiles",6,"Education"
228,"Automobiles",17,"Opinion"
229,"Automobiles",17,"Opinion"
230,"Automobiles",17,"Opinion"
231,"Automobiles",17,"Opinion"
232,"Automobiles",17,"Opinion"
233,"Automobiles",17,"Opinion"
234,"Automobiles",17,"Opinion"
235,"Automobiles",11,"Economy"
236,"Automobiles",17,"Opinion"
237,"Automobiles",17,"Opinion"
238,"Automobiles",17,"Opinion"
239,"Automobiles",17,"Opinion"
240,"Automobiles",17,"Opinion"
241,"Automobiles",17,"Opinion"
242,"Automobiles",17,"Opinion"
243,"Automobiles",17,"Opinion"
244,"Automobiles",17,"Opinion"
245,"Automobiles",17,"Opinion"
246,"Automobiles",11,"Economy"
247,"Automobiles",17,"Opinion"
248,"Automobiles",17,"Opinion"
249,"Automobiles",17,"Opinion"
250,"Automobiles",17,"Opinion"
251,"Automobiles",17,"Opinion"
252,"Automobiles",17,"Opinion"
253,"Automobiles",17,"Opinion"
254,"Automobiles",17,"Opinion"
255,"Automobiles",6,"Education"
256,"Automobiles",6,"Education"
257,"Automobiles",11,"Economy"
258,"Automobiles",6,"Education"
259,"Automobiles",6,"Education"
260,"Automobiles",6,"Education"
261,"Automobiles",17,"Opinion"
262,"Automobiles",17,"Opinion"
263,"Automobiles",17,"Opinion"
264,"Automobiles",17,"Opinion"
265,"Automobiles",17,"Opinion"
266,"Automobiles",17,"Opinion"
267,"Automobiles",17,"Opinion"
268,"Automobiles",5,"Entertainment"
269,"Automobiles",17,"Opinion"
270,"Automobiles",17,"Opinion"
271,"Automobiles",17,"Opinion"
272,"Automobiles",17,"Opinion"
273,"Automobiles",17,"Opinion"
274,"Automobiles",17,"Opinion"
275,"Automobiles",17,"Opinion"
276,"Automobiles",17,"Opinion"
277,"Automobiles",17,"Opinion"
278,"Automobiles",17,"Opinion"
279,"Automobiles",11,"Economy"
280,"Automobiles",17,"Opinion"
281,"Automobiles",17,"Opinion"
282,"Automobiles",17,"Opinion"
283,"Automobiles",17,"Opinion"
284,"Automobiles",17,"Opinion"
285,"Automobiles",19,"Literature"
286,"Automobiles",17,"Opinion"
287,"Automobiles",17,"Opinion"
288,"Automobiles",17,"Opinion"
289,"Automobiles",17,"Opinion"
290,"Automobiles",11,"Economy"
291,"Automobiles",17,"Opinion"
292,"Automobiles",17,"Opinion"
293,"Automobiles",6,"Education"
294,"Automobiles",6,"Education"
295,"Automobiles",17,"Opinion"
296,"Automobiles",19,"Literature"
297,"Automobiles",17,"Opinion"
298,"Automobiles",17,"Opinion"
299,"Automobiles",17,"Opinion"
300,"Automobiles",17,"Opinion"
301,"Automobiles",11,"Economy"
302,"Automobiles",17,"Opinion"
303,"Automobiles",17,"Opinion"
304,"Automobiles",17,"Opinion"
305,"Automobiles",17,"Opinion"
306,"Automobiles",17,"Opinion"
307,"Automobiles",17,"Opinion"
308,"Automobiles",17,"Opinion"
309,"Automobiles",5,"Entertainment"
310,"Automobiles",5,"Entertainment"
311,"Automobiles",5,"Entertainment"
312,"Automobiles",11,"Economy"
313,"Automobiles",11,"Economy"
314,"Automobiles",5,"Entertainment"
315,"Automobiles",5,"Entertainment"
316,"Automobiles",5,"Entertainment"
317,"Automobiles",5,"Entertainment"
318,"Automobiles",5,"Entertainment"
319,"Automobiles",5,"Entertainment"
320,"Automobiles",5,"Entertainment"
321,"Automobiles",5,"Entertainment"
322,"Automobiles",5,"Entertainment"
323,"Automobiles",5,"Entertainment"
324,"Automobiles",11,"Economy"
325,"Automobiles",5,"Entertainment"
326,"Automobiles",5,"Entertainment"
327,"Automobiles",5,"Entertainment"
328,"Automobiles",5,"Entertainment"
329,"Automobiles",5,"Entertainment"
330,"Automobiles",5,"Entertainment"
331,"Automobiles",5,"Entertainment"
332,"Automobiles",5,"Entertainment"
333,"Automobiles",11,"Economy"
334,"Automobiles",5,"Entertainment"
335,"Automobiles",11,"Economy"
336,"Automobiles",5,"Entertainment"
337,"Automobiles",5,"Entertainment"
338,"Automobiles",5,"Entertainment"
339,"Automobiles",11,"Economy"
340,"Automobiles",1,"Tourism"
341,"Automobiles",1,"Tourism"
342,"Automobiles",1,"Tourism"
343,"Automobiles",1,"Tourism"
344,"Automobiles",1,"Tourism"
345,"Automobiles",1,"Tourism"
346,"Automobiles",11,"Economy"
347,"Automobiles",1,"Tourism"
348,"Automobiles",1,"Tourism"
349,"Automobiles",1,"Tourism"
350,"Automobiles",1,"Tourism"
351,"Automobiles",1,"Tourism"
352,"Automobiles",1,"Tourism"
353,"Automobiles",1,"Tourism"
354,"Automobiles",1,"Tourism"
355,"Automobiles",1,"Tourism"
356,"Automobiles",1,"Tourism"
357,"Automobiles",11,"Economy"
358,"Automobiles",11,"Economy"
359,"Automobiles",5,"Entertainment"
360,"Automobiles",5,"Entertainment"
361,"Automobiles",5,"Entertainment"
362,"Automobiles",5,"Entertainment"
363,"Automobiles",5,"Entertainment"
364,"Automobiles",5,"Entertainment"
365,"Automobiles",11,"Economy"
366,"Automobiles",11,"Economy"
367,"Automobiles",11,"Economy"
368,"Automobiles",11,"Economy"
369,"Automobiles",11,"Economy"
370,"Automobiles",11,"Economy"
371,"Automobiles",11,"Economy"
372,"Automobiles",11,"Economy"
373,"Automobiles",11,"Economy"
374,"Automobiles",11,"Economy"
375,"Automobiles",11,"Economy"
376,"Automobiles",11,"Economy"
377,"Automobiles",11,"Economy"
378,"Automobiles",11,"Economy"
379,"Automobiles",11,"Economy"
380,"Automobiles",11,"Economy"
381,"Automobiles",11,"Economy"
382,"Automobiles",11,"Economy"
383,"Automobiles",11,"Economy"
384,"Automobiles",11,"Economy"
385,"Automobiles",11,"Economy"
386,"Automobiles",11,"Economy"
387,"Automobiles",11,"Economy"
388,"Automobiles",8,"Society"
389,"Automobiles",5,"Entertainment"
390,"Automobiles",11,"Economy"
391,"Automobiles",11,"Economy"
392,"Automobiles",11,"Economy"
393,"Automobiles",11,"Economy"
394,"Automobiles",11,"Economy"
395,"Automobiles",11,"Economy"
396,"Automobiles",11,"Economy"
397,"Automobiles",18,"Bank"
398,"Automobiles",11,"Economy"
399,"Automobiles",11,"Economy"
400,"Automobiles",11,"Economy"
401,"Automobiles",11,"Economy"
402,"Automobiles",11,"Economy"
403,"Automobiles",11,"Economy"
404,"Automobiles",11,"Economy"
405,"Automobiles",11,"Economy"
406,"Automobiles",11,"Economy"
407,"Automobiles",11,"Economy"
408,"Automobiles",11,"Economy"
409,"Automobiles",11,"Economy"
410,"Automobiles",11,"Economy"
411,"Automobiles",11,"Economy"
412,"Automobiles",11,"Economy"
413,"Automobiles",11,"Economy"
414,"Automobiles",11,"Economy"
415,"Automobiles",11,"Economy"
416,"Automobiles",11,"Economy"
417,"Automobiles",11,"Economy"
418,"Automobiles",11,"Economy"
419,"Automobiles",11,"Economy"
420,"Automobiles",11,"Economy"
421,"Automobiles",11,"Economy"
422,"Automobiles",11,"Economy"
423,"Automobiles",11,"Economy"
424,"Automobiles",11,"Economy"
425,"Automobiles",11,"Economy"
426,"Automobiles",11,"Economy"
427,"Automobiles",11,"Economy"
428,"Automobiles",11,"Economy"
429,"Automobiles",11,"Economy"
430,"Automobiles",11,"Economy"
431,"Automobiles",11,"Economy"
432,"Automobiles",11,"Economy"
433,"Automobiles",11,"Economy"
434,"Automobiles",11,"Economy"
435,"Automobiles",11,"Economy"
436,"Automobiles",11,"Economy"
437,"Automobiles",11,"Economy"
438,"Automobiles",11,"Economy"
439,"Automobiles",11,"Economy"
440,"Automobiles",11,"Economy"
441,"Automobiles",11,"Economy"
442,"Automobiles",11,"Economy"
443,"Automobiles",17,"Opinion"
444,"Automobiles",17,"Opinion"
445,"Automobiles",17,"Opinion"
446,"Automobiles",17,"Opinion"
447,"Bank",18,"Bank"
448,"Bank",17,"Opinion"
449,"Bank",15,"Bank"
450,"Bank",15,"Bank"
451,"Bank",11,"Economy"
452,"Bank",15,"Bank"
453,"Bank",15,"Bank"
454,"Bank",15,"Bank"
455,"Bank",18,"Bank"
456,"Bank",18,"Bank"
457,"Bank",15,"Bank"
458,"Bank",15,"Bank"
459,"Bank",15,"Bank"
460,"Bank",15,"Bank"
461,"Bank",18,"Bank"
462,"Bank",18,"Bank"
463,"Bank",17,"Opinion"
464,"Bank",18,"Bank"
465,"Bank",15,"Bank"
466,"Bank",15,"Bank"
467,"Bank",11,"Economy"
468,"Bank",18,"Bank"
469,"Bank",11,"Economy"
470,"Bank",18,"Bank"
471,"Bank",15,"Bank"
472,"Bank",18,"Bank"
473,"Bank",18,"Bank"
474,"Bank",18,"Bank"
475,"Bank",18,"Bank"
476,"Bank",11,"Economy"
477,"Bank",18,"Bank"
478,"Bank",11,"Economy"
479,"Bank",11,"Economy"
480,"Bank",11,"Economy"
481,"Bank",11,"Economy"
482,"Bank",11,"Economy"
483,"Bank",11,"Economy"
484,"Bank",18,"Bank"
485,"Bank",18,"Bank"
486,"Bank",18,"Bank"
487,"Bank",18,"Bank"
488,"Bank",11,"Economy"
489,"Bank",11,"Economy"
490,"Bank",17,"Opinion"
491,"Bank",15,"Bank"
492,"Bank",11,"Economy"
493,"Bank",15,"Bank"
494,"Bank",18,"Bank"
495,"Bank",18,"Bank"
496,"Bank",15,"Bank"
497,"Bank",18,"Bank"
498,"Bank",15,"Bank"
499,"Bank",11,"Economy"
500,"Bank",18,"Bank"
501,"Bank",11,"Economy"
502,"Bank",18,"Bank"
503,"Bank",18,"Bank"
504,"Bank",18,"Bank"
505,"Bank",15,"Bank"
506,"Bank",17,"Opinion"
507,"Bank",11,"Economy"
508,"Bank",18,"Bank"
509,"Bank",11,"Economy"
510,"Bank",11,"Economy"
511,"Bank",15,"Bank"
512,"Bank",12,"Business"
513,"Bank",11,"Economy"
514,"Bank",10,"Tourism"
515,"Bank",17,"Opinion"
516,"Bank",17,"Opinion"
517,"Bank",17,"Opinion"
518,"Bank",17,"Opinion"
519,"Bank",18,"Bank"
520,"Bank",17,"Opinion"
521,"Bank",15,"Bank"
522,"Bank",18,"Bank"
523,"Bank",18,"Bank"
524,"Bank",11,"Economy"
525,"Bank",18,"Bank"
526,"Bank",11,"Economy"
527,"Bank",11,"Economy"
528,"Bank",15,"Bank"
529,"Bank",17,"Opinion"
530,"Bank",11,"Economy"
531,"Bank",18,"Bank"
532,"Bank",18,"Bank"
533,"Bank",11,"Economy"
534,"Bank",18,"Bank"
535,"Bank",11,"Economy"
536,"Bank",18,"Bank"
537,"Bank",18,"Bank"
538,"Bank",15,"Bank"
539,"Bank",15,"Bank"
540,"Bank",18,"Bank"
541,"Bank",18,"Bank"
542,"Bank",11,"Economy"
543,"Bank",11,"Economy"
544,"Bank",11,"Economy"
545,"Bank",11,"Economy"
546,"Bank",11,"Economy"
547,"Bank",15,"Bank"
548,"Bank",11,"Economy"
549,"Bank",11,"Economy"
550,"Bank",18,"Bank"
551,"Bank",15,"Bank"
552,"Bank",18,"Bank"
553,"Bank",18,"Bank"
554,"Bank",11,"Economy"
555,"Bank",15,"Bank"
556,"Bank",11,"Economy"
557,"Bank",8,"Society"
558,"Bank",18,"Bank"
559,"Bank",15,"Bank"
560,"Bank",18,"Bank"
561,"Bank",11,"Economy"
562,"Bank",15,"Bank"
563,"Bank",17,"Opinion"
564,"Bank",11,"Economy"
565,"Bank",18,"Bank"
566,"Bank",18,"Bank"
567,"Bank",15,"Bank"
568,"Bank",11,"Economy"
569,"Bank",18,"Bank"
570,"Bank",15,"Bank"
571,"Bank",11,"Economy"
572,"Bank",18,"Bank"
573,"Bank",15,"Bank"
574,"Bank",11,"Economy"
575,"Bank",18,"Bank"
576,"Bank",18,"Bank"
577,"Bank",11,"Economy"
578,"Bank",18,"Bank"
579,"Bank",15,"Bank"
580,"Bank",18,"Bank"
581,"Bank",18,"Bank"
582,"Bank",11,"Economy"
583,"Bank",17,"Opinion"
584,"Bank",18,"Bank"
585,"Bank",15,"Bank"
586,"Bank",11,"Economy"
587,"Bank",11,"Economy"
588,"Bank",17,"Opinion"
589,"Bank",18,"Bank"
590,"Bank",18,"Bank"
591,"Bank",18,"Bank"
592,"Bank",18,"Bank"
593,"Bank",11,"Economy"
594,"Bank",18,"Bank"
595,"Bank",18,"Bank"
596,"Bank",15,"Bank"
597,"Bank",15,"Bank"
598,"Bank",11,"Economy"
599,"Bank",18,"Bank"
600,"Bank",18,"Bank"
601,"Bank",18,"Bank"
602,"Bank",18,"Bank"
603,"Bank",18,"Bank"
604,"Bank",15,"Bank"
605,"Bank",18,"Bank"
606,"Bank",18,"Bank"
607,"Bank",18,"Bank"
608,"Bank",15,"Bank"
609,"Bank",11,"Economy"
610,"Bank",18,"Bank"
611,"Bank",15,"Bank"
612,"Bank",18,"Bank"
613,"Bank",11,"Economy"
614,"Bank",18,"Bank"
615,"Bank",11,"Economy"
616,"Bank",11,"Economy"
617,"Bank",11,"Economy"
618,"Bank",18,"Bank"
619,"Bank",18,"Bank"
620,"Bank",11,"Economy"
621,"Bank",15,"Bank"
622,"Bank",11,"Economy"
623,"Bank",11,"Economy"
624,"Bank",11,"Economy"
625,"Bank",18,"Bank"
626,"Bank",11,"Economy"
627,"Bank",18,"Bank"
628,"Bank",11,"Economy"
629,"Bank",18,"Bank"
630,"Bank",11,"Economy"
631,"Bank",15,"Bank"
632,"Bank",18,"Bank"
633,"Bank",11,"Economy"
634,"Bank",18,"Bank"
635,"Bank",15,"Bank"
636,"Bank",18,"Bank"
637,"Bank",11,"Economy"
638,"Bank",11,"Economy"
639,"Bank",18,"Bank"
640,"Bank",12,"Business"
641,"Bank",11,"Economy"
642,"Bank",11,"Economy"
643,"Bank",18,"Bank"
644,"Bank",11,"Economy"
645,"Bank",11,"Economy"
646,"Bank",18,"Bank"
647,"Bank",18,"Bank"
648,"Bank",11,"Economy"
649,"Bank",11,"Economy"
650,"Bank",15,"Bank"
651,"Bank",11,"Economy"
652,"Bank",18,"Bank"
653,"Bank",11,"Economy"
654,"Bank",18,"Bank"
655,"Bank",18,"Bank"
656,"Bank",18,"Bank"
657,"Bank",11,"Economy"
658,"Bank",18,"Bank"
659,"Bank",18,"Bank"
660,"Bank",18,"Bank"
661,"Bank",11,"Economy"
662,"Bank",11,"Economy"
663,"Bank",18,"Bank"
664,"Bank",15,"Bank"
665,"Bank",11,"Economy"
666,"Bank",15,"Bank"
667,"Bank",15,"Bank"
668,"Bank",11,"Economy"
669,"Bank",18,"Bank"
670,"Bank",18,"Bank"
671,"Bank",15,"Bank"
672,"Bank",15,"Bank"
673,"Bank",18,"Bank"
674,"Bank",11,"Economy"
675,"Bank",18,"Bank"
676,"Bank",11,"Economy"
677,"Bank",11,"Economy"
678,"Bank",18,"Bank"
679,"Bank",11,"Economy"
680,"Bank",15,"Bank"
681,"Bank",15,"Bank"
682,"Bank",11,"Economy"
683,"Bank",11,"Economy"
684,"Bank",15,"Bank"
685,"Bank",11,"Economy"
686,"Bank",18,"Bank"
687,"Bank",18,"Bank"
688,"Bank",18,"Bank"
689,"Bank",18,"Bank"
690,"Bank",18,"Bank"
691,"Bank",18,"Bank"
692,"Bank",18,"Bank"
693,"Bank",11,"Economy"
694,"Bank",18,"Bank"
695,"Bank",11,"Economy"
696,"Bank",11,"Economy"
697,"Bank",18,"Bank"
698,"Bank",18,"Bank"
699,"Bank",18,"Bank"
700,"Bank",15,"Bank"
701,"Bank",18,"Bank"
702,"Bank",15,"Bank"
703,"Bank",18,"Bank"
704,"Bank",11,"Economy"
705,"Bank",18,"Bank"
706,"Bank",17,"Opinion"
707,"Bank",11,"Economy"
708,"Bank",18,"Bank"
709,"Bank",18,"Bank"
710,"Bank",11,"Economy"
711,"Bank",11,"Economy"
712,"Bank",11,"Economy"
713,"Bank",12,"Business"
714,"Bank",15,"Bank"
715,"Bank",18,"Bank"
716,"Bank",18,"Bank"
717,"Bank",18,"Bank"
718,"Bank",18,"Bank"
719,"Bank",18,"Bank"
720,"Bank",15,"Bank"
721,"Bank",18,"Bank"
722,"Bank",15,"Bank"
723,"Bank",15,"Bank"
724,"Bank",18,"Bank"
725,"Bank",18,"Bank"
726,"Bank",11,"Economy"
727,"Bank",18,"Bank"
728,"Bank",11,"Economy"
729,"Bank",18,"Bank"
730,"Bank",18,"Bank"
731,"Bank",11,"Economy"
732,"Bank",18,"Bank"
733,"Bank",11,"Economy"
734,"Bank",15,"Bank"
735,"Bank",18,"Bank"
736,"Bank",18,"Bank"
737,"Bank",18,"Bank"
738,"Bank",15,"Bank"
739,"Bank",18,"Bank"
740,"Bank",18,"Bank"
741,"Bank",11,"Economy"
742,"Bank",18,"Bank"
743,"Bank",18,"Bank"
744,"Bank",18,"Bank"
745,"Bank",15,"Bank"
746,"Bank",17,"Opinion"
747,"Bank",18,"Bank"
748,"Bank",18,"Bank"
749,"Bank",17,"Opinion"
750,"Bank",18,"Bank"
751,"Bank",18,"Bank"
752,"Bank",11,"Economy"
753,"Bank",18,"Bank"
754,"Bank",11,"Economy"
755,"Bank",12,"Business"
756,"Bank",18,"Bank"
757,"Bank",11,"Economy"
758,"Bank",18,"Bank"
759,"Bank",11,"Economy"
760,"Bank",17,"Opinion"
761,"Bank",18,"Bank"
762,"Bank",18,"Bank"
763,"Bank",18,"Bank"
764,"Bank",18,"Bank"
765,"Bank",11,"Economy"
766,"Bank",15,"Bank"
767,"Bank",18,"Bank"
768,"Bank",18,"Bank"
769,"Bank",18,"Bank"
770,"Bank",11,"Economy"
771,"Bank",11,"Economy"
772,"Bank",18,"Bank"
773,"Bank",11,"Economy"
774,"Bank",11,"Economy"
775,"Bank",18,"Bank"
776,"Bank",18,"Bank"
777,"Bank",18,"Bank"
778,"Bank",17,"Opinion"
779,"Bank",17,"Opinion"
780,"Bank",15,"Bank"
781,"Bank",18,"Bank"
782,"Bank",17,"Opinion"
783,"Bank",17,"Opinion"
784,"Bank",17,"Opinion"
785,"Bank",18,"Bank"
786,"Bank",11,"Economy"
787,"Bank",15,"Bank"
788,"Bank",15,"Bank"
789,"Bank",11,"Economy"
790,"Bank",18,"Bank"
791,"Bank",18,"Bank"
792,"Bank",15,"Bank"
793,"Bank",18,"Bank"
794,"Bank",18,"Bank"
795,"Bank",11,"Economy"
796,"Bank",18,"Bank"
797,"Bank",11,"Economy"
798,"Bank",15,"Bank"
799,"Bank",18,"Bank"
800,"Bank",18,"Bank"
801,"Bank",18,"Bank"
802,"Bank",18,"Bank"
803,"Bank",18,"Bank"
804,"Bank",18,"Bank"
805,"Bank",15,"Bank"
806,"Bank",18,"Bank"
807,"Bank",15,"Bank"
808,"Bank",18,"Bank"
809,"Bank",18,"Bank"
810,"Bank",17,"Opinion"
811,"Bank",17,"Opinion"
812,"Bank",17,"Opinion"
813,"Bank",17,"Opinion"
814,"Bank",18,"Bank"
815,"Bank",17,"Opinion"
816,"Bank",17,"Opinion"
817,"Bank",17,"Opinion"
818,"Bank",17,"Opinion"
819,"Bank",17,"Opinion"
820,"Bank",17,"Opinion"
821,"Bank",17,"Opinion"
822,"Bank",17,"Opinion"
823,"Bank",17,"Opinion"
824,"Bank",17,"Opinion"
825,"Bank",18,"Bank"
826,"Bank",3,"Bank"
827,"Bank",9,"Interview"
828,"Bank",17,"Opinion"
829,"Bank",17,"Opinion"
830,"Bank",17,"Opinion"
831,"Bank",17,"Opinion"
832,"Bank",4,"Education"
833,"Bank",17,"Opinion"
834,"Bank",7,"Interview"
835,"Bank",17,"Opinion"
836,"Bank",18,"Bank"
837,"Bank",17,"Opinion"
838,"Bank",17,"Opinion"
839,"Bank",17,"Opinion"
840,"Bank",17,"Opinion"
841,"Bank",17,"Opinion"
842,"Bank",9,"Interview"
843,"Bank",17,"Opinion"
844,"Bank",17,"Opinion"
845,"Bank",17,"Opinion"
846,"Bank",17,"Opinion"
847,"Bank",18,"Bank"
848,"Bank",17,"Opinion"
849,"Bank",17,"Opinion"
850,"Bank",17,"Opinion"
